1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
71;Sweet Salty Nut chocolat noir et melange de noix, 5 barres de 30 g;roasted peanuts (17%), whole oats (12%), sugar, chicory root extract, glucose syrup, wheat flour, vegetable fat palm, shea, maltodextrin, cocoa paste, almond pieces (4%), fructose, lean cocoa powder, rice flour, sunflower oil, lactose (milk), peanut butter, humectant glycerol, salt, emulsifiers sunflower and soy lecithin, dextrose, natural flavors, wheat germ, cocoa butter, antioxidant, rich tocopherol extract, honey,;gluten, milk, nuts, peanuts, soybeans;https://world.openfoodfacts.org/product/8410076610621
72;Blueberry Muffin raw fruit nut bar;dates 58%, cashews 15%, raisins 15%, almonds 10%, blueberries 2%, natural flavouring;nuts;https://world.openfoodfacts.org/product/5060088705940
73;Muesli Croustillant Noix de pecan noix du Bresil;whole grain oats (60%), glucose syrup, sugar, oligofructose, wheat petals (4%) (wheat flour and bran, sugar, sugar syrup, barley malt extract, salt), barley flakes (3%) barley, sugar, salt, barley malt extract, emulsifier (mono - and diglycerides of fatty acids), molasses, pumpkin seed (2.4%), brazil nuts (2.3%), pecans (2.2%), sunflower oil, flavourings, antioxidant (tocopherol), may contain traces of milk,;gluten, nuts;https://world.openfoodfacts.org/product/3168930009795
74;NAKD PROTEIN - Cacao noisette - 45g (16x1p);Dates (38%), Peanuts (35%), Chicory fibre (10%), Peanut flour (8%), Hazelnuts (5%), Fat-reduced cocoa powder (3%), Natural flavourings.;nuts, peanuts;https://world.openfoodfacts.org/product/5060088700105
75;Cocoa Orange;Dates (42%), Cashews (34%), Raisins (19%), Cocoa (4%), natural flavouring.;nuts;https://world.openfoodfacts.org/product/5060088701447
76;Haselnusskerne gerostet;roasted hazelnuts;nuts;https://world.openfoodfacts.org/product/4056489033042
77;Premium Fruit Nut Muesli;27% Wholegrain Oat Flakes, 15% Barley Flakes, 12% Raisins (Raisins, Sunflower Oil), 10% Sultanas (Sultanas, Sunflower Oil), 8% Wholegrain Toasted and Malted Wheat Flakes (Wheat, Barley Malt Extract), 5% Sweetened Dried Pineapple (Pineapple, Sugar, Acidity Regulator Citric Acid, Preservative Sulphur Dioxide), 4.5% Dried Banana Chips (Banana, Coconut Oil, Sugar, Flavouring), 4% Coconut Chips, 3.5% Chopped Dates (Dates, Rice Flour), 3% Pumpkin Seeds, 2.5% Sweetened Dried Papaya (Papaya, Sugar, Acidity Regulator Citric Acid, Preservative Sulphur Dioxide), 2% Roasted Whole Hazelnuts, 2% Whole Almonds, 1.5% Chopped Pecan Nuts. Allergy Advice For allergens including Gluten, see;banana, gluten, nuts, pumpkin seeds, sulphur dioxide and sulphites, sunflower seeds;https://world.openfoodfacts.org/product/20060831
78;Nutella B-ready fergulf;hazelnut spread with cocoa 81,5% (sugar, palm oil, hazelnuts (13%), skimmed milk powder (8,7%), fat-reduced cocoa (7,4%), emulsifier lecithin ( soya ), vanillin), wheat flour (16%), bakers yeast, powdered barley s malt extract, salt, skimmed milk powder, emulsifier lecithin ( soya ), wheat proteins, whey proteins ( milk ), water,;gluten, milk, nuts, soybeans;https://world.openfoodfacts.org/product/8000500227848
79;Dark Chocolate Nuts Sea Salt Bars;Almonds, peanuts, dark chocolate coating (sugar, cocoa mass, cocoa butter, emulsifier (soya lecithin), natural flavouring), chicory root fibre, honey, glucose syrup, rice crisps (rice flour), cocoa mass, sea salt, emulsifier (soya lecithin). (May contain other nuts, milk.);nuts, peanuts, soybeans;https://world.openfoodfacts.org/product/5000159535267
80;Organic Almond milk;spring water, organic almonds 5%, sea salt;nuts;https://world.openfoodfacts.org/product/5060362071594
81;Family Pack;Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.;gluten;https://world.openfoodfacts.org/product/5010029000801
82;Wheat Bisks;whole wheat (95%), barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid,;gluten;https://world.openfoodfacts.org/product/4088600247519
83;SPAGHETTI N 5;DURUM WHEAT SEMOLINA PASTA. May contain traces of soy and mustard.;gluten;https://world.openfoodfacts.org/product/8076800195057
84;Digestive Biscuits;flour (55%) (wheat flour, calcium, iron, niacin, thiamine), palm oil, whole wheat flour (16%), sugar, baking powders (sodium carbonates, malic acid, ammonium carbonates), inverted sugar syrup, salt. may also contain milk.;gluten, milk;https://world.openfoodfacts.org/product/5000168198491
85;Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil;Wholemeal Wheat Flour (35%), Wheat Flour, Water, Extra Virgin Olive Oil (8%), Salt.;gluten;https://world.openfoodfacts.org/product/5060198641251
86;Bitesize shredded wheat;Whole Grain Wheat (100%);gluten;https://world.openfoodfacts.org/product/7613287194374
87;Wheat Biscuits;Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice;gluten;https://world.openfoodfacts.org/product/5000119117359
88;Malt Wheats;Wholewheat Flour, Sugar, Malted Barley Extract, Partially Inverted Sugar Syrup, Salt, Niacin, Iron, Pantothenic Acid, Thiamin, Riboflavin, Vitamin B6, Folic Acid, Vitamin B12.;gluten;https://world.openfoodfacts.org/product/5000436857112
89;Blueberry Muffin Myrtilles;Dates 58%, Cashews 15%, Raisins 15%, Almonds 10%, Blueberries 2%, Natural Flavouring;nuts;https://world.openfoodfacts.org/product/5060088706534
90;5050 Medium Bread;wheat flour 33% (with calcium, iron, niacin (b3), thiamin (b1)), wholemeal wheat flour 33%, water, yeast, salt, vegetable oils (rapeseed, sustainable palm), vinegar, sustainable soya flour, emulsifier (e472e), preservative (calcium propionate), flour treatment agent (ascorbic acid (vitamin c)).;gluten, soybeans;https://world.openfoodfacts.org/product/5010092093441
91;Chocapic Cereals;whole wheat 35.0%, chocolate powder 22.5% (, cocoa powder), wheat flour 17.0%, cornmeal, glucose syrup, , barley malt extract (barley, malted barley), contains sunflower andor palm oil, , emulsifier , , natural flavours, iron, vitamins b3, b5, d, b6, b1, b2 and b9, may contain milk and nuts.;gluten;https://world.openfoodfacts.org/product/7613034626844
92;original shredded wheat;whole grain wheat (100%);gluten;https://world.openfoodfacts.org/product/7613031473113
93;Cheese Oatcakes;Wholegrain Oats (71%), Cheese (15%) (Milk), Sustainable Palm Fruit Oil, Sea Salt, Raising Agent Sodium Bicarbonate.;gluten, milk;https://world.openfoodfacts.org/product/0061232201948
94;Wholegrain Wheat Bixies;94% wholegrain wheat , barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid;gluten;https://world.openfoodfacts.org/product/20471613
95;4 Greek Style Flatbreads;Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Water, Rapeseed Oil, Wheat Gluten, Wheat Fibre, Spirit Vinegar, Yeast, Preservatives (Potassium Sorbate, Calcium Propionate), Raising Agents (Disodium Diphosphate, Sodium Hydrogen Carbonate, Calcium Phosphate), Salt, Stabiliser (Sodium Carboxymethyl Cellulose), Acidity Regulator (Citric Acid), Wheat Starch, Wheat Flour;gluten, milk;https://world.openfoodfacts.org/product/5012121004336
96;All-Bran Original;Wheat bran (86%), sugar, barley malt extract, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals.;gluten;https://world.openfoodfacts.org/product/5000127142190
97;Mission Deli White Wraps;Fortified WHEAT Flour (WHEAT Flour, Calcium Carbonate, Iron Niacin (B3), Thiamin (B1)), Water, Wholemeal WHEAT Flour, Rapeseed Oil, Humectant (Glycerol), Acidity Regulator (Malic Acid), Sugar, Emulsifiers (Mono - and Diglycerides of Fatty Acids), Raising Agent (Sodium Carbonates), Salt, Preservatives (Potassium Sorbate, Calcium Propionate), Flavouring.;gluten;https://world.openfoodfacts.org/product/5036034406193
98;Wholemeal Pittas;Wholemeal Wheat Flour, Water, Yeast, Spirit Vinegar Salt, Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Preservative Calcium Propionate, Wheat Starch.;gluten;https://world.openfoodfacts.org/product/00234931
99;Bran Flakes;80% Shredded Wholegrain Wheat, 16% Wheat Bran, Sugar, Barley Malt Extract, Salt, Honey.;gluten;https://world.openfoodfacts.org/product/20621483
100;Tortillas 100% Integrales;and wheat flour (59%), water, sunflower oil high oleic acid (3%), estabilizae (e422), emulsifier (e471), salt, corrector of acidity (e296, e330), dextrose, preservatives (e202, e282), gasificante (es00ii), thickener (e415), agent flour treatment (e920),;gluten;https://world.openfoodfacts.org/product/8480000809421
101;Tofoo Naked;Organic Tofu (Water, Organic Soya Beans 36%, Nigari).;soybeans;https://world.openfoodfacts.org/product/5034467000216
102;Sojasauce;water, soybeans , wheat , salt,;gluten, soybeans;https://world.openfoodfacts.org/product/8715035110106
103;Seeded Batch;Wheat Flour with Calcium, Iron, Niacin (B3) and Thiamin (B1), Water, Seed Mix (15%) (Sesame Seed, Brown Linseed, Sunflower Seed, Millet Seed, Poppy Seed), Yeast, Malted Barley Flour, Vegetable Oils (Rapeseed and Sustainable Palm), Sugar, Salt, Wheat Gluten, Soya Flour, Emulsifiers E472e, E471, E481, Preservative Calcium Propionate, Flour Treatment Agent Ascorbic Acid (Vitamin C).;gluten, sesame seeds, soybeans;https://world.openfoodfacts.org/product/5010044002552
104;Organic oat drink;water, oats 10%, sea salt, organic ingredient;gluten, soybeans;https://world.openfoodfacts.org/product/7394376123337
105;Premium Soy Sauce;Water, Soybeans 17.5%, Salt, Sugar, Wheat Flour.;gluten, soybeans;https://world.openfoodfacts.org/product/0078895126396
